gene_id,S01,S02,S03,S04,S05,S06,S07,S08,S09,S10,S11,S12,S13,S14,S15,S16,S17,S18,S19,S20,S21,S22,S23,S24
G0245,0,0,80,32,0,19,19,2,0,0,3,25,0,1,0,0,0,0,0,15,0,22,0,30
G0246,677,197,1562,934,349,965,211,308,189,1203,754,860,208,629,243,846,120,285,317,91,176,135,509,60
G0247,472,265,233,537,476,366,349,488,215,1042,321,342,431,764,1140,245,190,402,681,370,146,691,560,1028
G0248,62,211,556,518,278,94,178,152,54,454,59,20,78,211,440,263,91,100,312,140,108,113,536,136
G0249,352,431,882,736,879,632,388,218,312,1674,1741,343,144,561,649,238,338,257,523,277,439,738,809,749
G0250,466,625,494,732,1345,387,753,270,254,994,482,815,298,906,1059,1036,463,334,475,229,469,728,655,698
G0251,196,123,942,734,277,310,341,300,175,319,282,246,77,664,478,158,101,229,282,99,368,324,426,320
G0252,194,137,261,111,304,7,18,150,147,583,183,379,37,50,254,277,124,49,181,57,146,352,70,155
G0253,287,42,312,567,159,512,538,460,79,957,160,254,125,291,814,186,349,144,255,72,340,141,265,477
G0254,32,38,405,235,114,21,58,12,15,49,523,206,36,292,373,19,18,53,11,57,112,101,104,435
G0255,542,176,567,452,846,517,843,187,199,1252,873,1065,166,395,1379,109,459,366,121,355,300,223,600,434
G0256,23,7,215,17,85,74,46,30,22,27,12,25,58,2,10,141,13,11,34,49,15,11,181,161
G0257,194,23,123,291,3,121,139,276,17,306,102,369,0,16,289,279,82,46,13,33,265,188,27,27
G0258,2290,561,1444,836,1708,412,1660,733,645,2381,2294,2395,667,1510,1375,956,797,999,1553,491,766,1047,781,1340
G0259,0,0,154,1,2,5,0,2,0,31,394,63,0,0,0,0,25,0,0,7,0,0,0,1
G0260,21,13,318,48,0,60,6,0,0,16,0,0,3,31,22,79,9,113,2,15,69,0,163,20
G0261,174,42,444,221,123,22,139,22,71,739,220,33,28,365,206,274,115,158,265,33,50,113,40,75
G0262,3642,1646,11064,6868,4295,2558,4678,2781,1692,5627,9260,5179,2751,5082,4860,3521,1991,3408,3216,2553,2466,5125,3320,3297
G0263,581,184,97,789,324,365,407,475,152,582,233,509,234,50,664,281,141,191,116,116,109,673,433,108
G0264,1041,310,915,1069,838,319,805,215,368,907,2352,559,376,670,729,573,321,393,548,460,378,859,856,412
G0265,504,77,409,471,195,70,27,80,1,488,47,272,112,77,86,15,33,7,27,17,195,68,240,194
G0266,99,21,253,44,2,154,362,120,3,454,410,913,8,105,198,81,135,94,318,42,90,516,460,499
G0267,8,3,0,229,1,0,13,5,27,14,33,2,6,231,11,104,0,86,41,1,1,171,1,15
G0268,517,123,368,255,107,200,440,146,73,1519,1678,838,388,93,664,478,228,308,205,164,571,229,167,127
G0269,142,29,140,51,242,12,632,18,370,523,302,673,35,273,241,268,11,48,12,278,70,129,9,431
G0270,371,0,124,12,17,0,34,6,38,173,74,208,18,281,192,63,3,224,0,0,18,19,57,89
G0271,394,148,1247,658,669,352,242,329,222,676,720,630,460,443,533,526,231,160,288,41,610,173,147,239
G0272,463,127,895,1658,1235,385,966,236,154,738,1749,617,221,619,1217,403,196,534,253,260,211,510,1063,699
G0273,576,197,393,398,183,72,776,157,279,464,269,1103,25,172,636,271,193,184,161,48,223,113,325,321
G0274,4996,1321,7239,6260,4776,3061,4560,2530,1578,7487,8342,5345,1971,3956,3724,2577,1947,2399,3166,1700,2585,4340,3757,4666
G0275,224,12,372,331,209,74,172,214,146,597,21,199,64,98,701,19,124,280,76,23,15,226,579,342
G0276,557,257,528,707,481,400,526,157,254,1373,423,463,390,313,253,929,306,347,494,460,472,897,531,801
G0277,124,56,6,600,15,27,101,10,82,233,116,15,88,55,54,68,2,0,38,9,54,30,41,37
G0278,6855,646,3217,4398,1948,1545,2480,1698,1686,5489,4099,4146,1303,4116,3846,3393,1673,1283,2356,1082,794,1647,3353,4292
G0279,543,156,1228,396,249,281,245,124,103,265,572,772,221,324,255,247,73,698,754,106,134,306,337,276
G0280,584,298,408,232,172,403,67,224,156,716,838,24,280,186,586,273,195,213,417,172,318,972,594,208
G0281,34,75,411,132,113,43,6,81,71,53,60,97,12,228,400,163,96,129,156,15,123,57,42,117
G0282,87,17,414,58,91,155,161,1,96,7,103,167,91,308,575,57,20,17,42,114,143,17,47,137
G0283,248,33,358,193,328,37,31,35,1,4,83,26,36,12,2,47,1,27,323,28,11,13,9,25
G0284,109,36,210,109,45,10,66,37,7,174,130,25,14,7,40,5,96,77,34,40,130,9,10,248
G0285,23252,9273,24458,32142,15431,11746,17436,10864,6126,28618,19911,15552,9724,22329,16031,12545,10926,10793,14088,7481,9989,20261,19861,25029
G0286,75,86,189,165,79,98,188,174,116,321,145,175,109,99,228,79,45,156,72,137,42,46,48,136
G0287,105,0,15,6,2,0,96,107,63,161,34,44,1,163,9,37,7,24,72,26,46,18,34,11
G0288,758,185,843,493,200,489,166,150,257,619,575,416,241,810,1305,209,177,353,346,81,38,154,126,539
G0289,1328,396,1746,842,1299,579,555,1274,852,1995,1118,1184,631,1097,1452,1245,352,618,1118,660,476,1157,1127,609
G0290,203,79,43,279,161,63,179,291,148,11,263,375,164,76,178,16,167,240,361,32,41,533,53,297
G0291,120,99,807,716,54,89,789,178,43,345,350,784,56,638,429,588,134,32,148,108,23,321,92,571
G0292,1126,483,2091,620,1841,242,1127,1122,369,1534,1200,440,326,2124,885,1111,393,1318,855,299,571,660,784,1286
G0293,1077,86,1447,1400,1238,747,448,584,141,1837,2258,764,622,1453,1409,825,245,447,686,359,407,428,943,1147
G0294,682,218,911,829,523,360,301,462,140,303,53,396,401,393,546,346,201,41,741,192,180,1177,290,496
G0295,788,405,1144,924,767,263,1028,335,448,791,1358,309,416,368,964,718,288,446,1244,442,369,232,776,603
G0296,16,59,271,190,485,21,597,175,132,335,296,181,204,281,977,350,141,84,237,156,97,74,311,199
G0297,7999,2972,9731,9839,6987,3388,6507,3000,3025,9743,10707,7405,3170,5660,9329,5162,2238,4262,3183,2435,5925,3998,6069,5102
G0298,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,11,3,0,0,0
G0299,848,206,1789,1350,671,329,319,254,389,913,422,263,308,567,196,1311,117,259,567,180,678,360,666,233
G0300,554,135,952,324,467,364,555,472,384,429,583,380,263,583,220,710,194,498,396,43,245,688,861,580
G0301,26,3,0,66,0,31,39,2,7,20,0,60,0,0,0,168,29,52,61,2,11,36,112,202
G0302,1660,960,1455,1794,2634,758,1541,1237,950,4808,4131,3737,1012,975,2170,1177,527,995,1949,756,1595,1736,1052,1209
G0303,1401,554,3796,3526,1685,1285,2225,410,789,3073,2995,2636,872,1263,2161,971,885,1501,1491,1003,1387,1975,1336,1537
G0304,58,9,77,190,317,8,147,15,66,213,90,45,42,134,75,10,1,52,69,5,69,0,4,186
G0305,70,55,121,43,207,73,320,111,68,18,348,124,28,600,322,23,103,122,118,24,10,49,29,134
G0306,13,137,23,92,90,200,38,23,18,69,113,48,24,77,40,7,28,50,109,102,377,424,940,1005
G0307,17,0,141,184,0,1,0,0,0,11,64,0,0,10,29,30,89,35,3,23,3,21,0,0
G0308,931,119,1093,946,1021,1000,759,636,419,1251,743,1149,515,288,744,582,192,337,368,163,179,375,873,866
G0309,756,631,2746,2680,1194,440,2636,851,593,4594,2771,3387,642,869,1039,1221,538,1386,1309,521,769,1598,1796,3526
G0310,2,0,0,36,0,0,0,0,0,0,6,29,0,0,0,0,3,1,1,0,0,0,0,0
G0311,131,113,701,451,443,96,332,375,123,946,566,382,82,322,165,238,141,208,150,194,111,142,560,86
G0312,1481,408,1010,937,1486,1098,1232,582,174,3837,1119,700,644,776,848,719,786,824,837,775,692,1201,1297,985
G0313,475,88,915,870,466,373,736,398,275,2046,298,354,410,757,629,548,86,360,677,276,456,385,568,451
G0314,336,39,401,871,366,270,240,121,253,15,461,384,118,447,297,347,228,47,155,44,274,99,662,114
G0315,205,62,777,861,402,76,182,362,77,477,476,184,313,325,94,534,258,53,245,319,27,835,54,153
G0316,4150,2942,2585,5237,5034,1663,3454,1891,2305,3274,4552,5434,1431,3940,1629,2120,1959,1621,3346,1153,2218,3621,3232,3678
G0317,0,0,45,0,0,0,22,0,0,0,0,0,0,4,0,4,0,0,0,0,0,1,31,0
G0318,30,20,99,80,47,39,52,28,57,35,425,67,257,170,1,23,11,27,111,36,28,1,43,0
G0319,217,103,627,659,538,201,266,8,235,288,507,529,102,221,148,163,38,242,125,70,127,106,599,78
G0320,213,29,274,103,120,116,67,97,64,234,17,101,18,163,189,59,11,390,21,62,84,68,40,15
G0321,474,52,427,126,397,310,332,287,245,527,119,681,55,624,48,308,63,474,199,313,434,258,432,498
G0322,1042,348,1035,1020,1002,450,1331,603,201,2129,721,697,366,665,1650,761,359,713,753,536,437,2149,1186,968
G0323,837,193,683,696,901,362,852,335,438,1034,997,655,233,1330,580,896,253,302,1093,128,594,598,736,1262
G0324,1221,147,181,617,334,312,269,120,127,660,506,577,153,312,154,71,94,129,629,330,292,805,72,780
G0325,2926,784,3326,2428,1081,1274,2785,811,1716,4467,4622,3181,1029,3326,3304,1918,840,1074,2260,1022,1036,1482,2881,833
G0326,2279,790,2624,3120,1340,896,3364,1318,610,4112,2971,3806,1243,2176,1876,2392,988,761,1827,532,1656,3176,1896,1471
G0327,189,71,2,16,52,63,7,23,170,5,17,71,0,75,158,240,20,3,42,0,0,76,41,2
G0328,1921,998,2229,2506,1640,902,1914,810,369,2774,1980,2660,583,2128,1461,1889,1072,802,2062,1448,1885,1503,2154,3404
G0329,16,50,623,88,294,140,67,479,190,105,256,396,13,10,233,333,37,105,192,54,133,41,256,282
G0330,49,81,3,159,2,18,232,1,50,10,597,58,26,5,123,1,40,6,3,78,2,24,195,283
G0331,124,196,428,954,295,88,150,64,77,874,568,274,369,558,253,493,284,116,152,229,140,291,169,115
G0332,0,23,1,20,169,130,220,21,36,0,32,6,0,18,5,0,333,17,0,11,0,4,208,14
G0333,162,20,370,552,316,297,306,66,88,834,218,172,332,322,420,100,86,256,75,109,69,39,13,39
G0334,531,17,81,162,10,96,16,210,3,224,110,84,115,7,267,1,87,54,145,5,20,204,8,316
G0335,2785,332,1683,1892,2784,1027,1928,759,803,1901,3035,1740,901,1702,2185,1280,1166,1848,1299,901,2388,2395,1057,1836
G0336,1593,648,2815,1792,1519,685,2079,965,800,2751,1662,4641,757,1825,2270,745,440,848,700,746,1035,872,1474,1374
G0337,57,43,29,165,451,169,169,42,157,926,371,50,101,668,199,273,190,221,83,205,397,717,226,131
G0338,0,5,63,68,43,35,230,3,88,1018,5,43,5,85,281,72,8,52,3,10,123,35,83,58
G0339,83,19,195,47,321,78,210,210,133,128,577,228,21,30,106,158,86,63,30,40,254,107,217,160
G0340,20,175,96,238,66,142,346,160,20,43,213,180,151,168,54,99,88,105,84,88,37,225,17,499
G0341,2524,439,818,1909,962,704,346,495,781,1461,1380,584,710,1641,1675,573,347,499,825,453,642,819,714,1395
G0342,135,55,1044,842,839,479,387,333,155,535,305,584,81,513,473,302,224,322,502,98,106,255,132,761
G0343,771,256,1061,989,1057,386,339,382,419,1988,1430,649,321,1488,794,1472,239,730,542,215,573,658,720,1588
G0344,2328,510,1274,2124,2263,946,1359,497,441,2898,2228,1198,696,660,1536,1543,473,904,652,760,1011,911,605,1544
G0345,1658,786,1714,1582,2401,542,1376,1338,376,3257,2857,1523,638,1432,1796,1028,636,1133,1214,828,747,1285,2059,942
G0346,941,327,1121,1010,2002,834,561,538,554,1752,1794,1639,814,1604,857,1313,528,536,862,349,595,310,1278,787
G0347,1692,420,2314,1182,855,287,1035,857,488,1030,812,483,269,665,1252,533,594,376,439,591,875,1064,281,790
G0348,49,28,227,99,456,122,83,19,6,375,170,350,91,81,101,6,235,10,17,123,79,12,66,151
G0349,28,48,127,320,79,6,37,1,36,3,314,1,102,1,1,166,7,47,1,22,2,82,3,29
G0350,55,269,573,505,79,31,544,296,60,781,179,154,95,137,456,182,34,678,293,198,366,410,120,652
G0351,668,472,1373,1276,1082,423,1277,921,542,1746,1670,895,298,885,1233,685,446,448,242,537,548,970,958,1068
G0352,463,271,569,605,585,100,784,141,116,681,234,396,261,1130,396,57,69,576,16,286,80,207,254,167
G0353,845,220,580,276,127,587,857,27,179,1207,203,454,220,381,927,152,152,9,173,96,148,272,438,405
G0354,1630,652,1598,1547,3473,1070,1181,702,745,3336,3153,1618,758,980,725,599,568,1711,1334,920,718,2853,1002,1456
G0355,386,77,797,238,168,7,150,35,51,299,1,116,31,168,622,60,54,128,57,6,5,81,37,3
G0356,844,270,521,625,1304,451,1418,696,335,534,1006,1117,209,639,509,692,390,437,1059,591,593,910,1191,890
G0357,857,91,107,5,216,15,74,92,229,132,209,220,1,6,147,97,50,127,41,1,524,262,58,154
G0358,38,2,57,22,31,1,0,23,1,615,56,44,32,38,13,31,215,110,82,82,2,3,0,46
G0359,120,84,660,210,60,23,241,108,75,220,349,58,27,90,128,44,72,149,194,243,366,131,334,68
G0360,15,51,129,183,289,120,145,89,98,200,677,56,45,227,186,118,121,251,111,59,46,276,251,462
G0361,668,463,530,173,160,289,348,197,158,359,291,291,67,398,185,600,137,277,434,89,96,299,456,442
G0362,203,144,7,206,59,93,45,44,14,166,172,88,21,57,11,353,35,30,38,8,178,77,122,111
G0363,1248,382,778,296,1424,283,397,365,147,1180,425,410,368,408,505,774,582,322,421,270,310,440,315,514
G0364,1300,425,2726,1328,1362,335,1079,557,340,3330,2492,803,293,1136,556,682,328,630,736,786,603,650,448,1209
G0365,1,3,3,72,0,16,0,23,2,108,103,13,13,5,1,55,1,1,11,7,12,3,86,88
G0366,335,116,237,584,672,100,169,344,202,2484,204,706,160,360,141,33,49,53,136,26,185,992,51,192
G0367,1421,267,972,1831,900,525,271,1193,495,1020,1098,1000,525,944,834,476,350,655,769,571,400,788,719,1240
G0368,180,19,159,9,0,44,2,4,80,2,281,3,0,7,34,0,17,23,3,36,38,56,1,27
G0369,232,26,198,284,226,51,244,96,45,8,123,38,3,2,21,73,14,126,308,30,134,83,271,143
G0370,147,140,284,326,558,79,479,451,277,181,684,851,27,622,434,135,228,132,358,105,76,299,65,139
G0371,4,35,1,1,169,59,0,8,189,161,351,126,1,114,315,54,55,40,0,0,0,41,42,138
G0372,405,17,1,488,16,79,47,27,3,138,2,8,2,3,0,0,81,35,36,34,6,3,5,60
G0373,88,70,372,265,324,113,257,520,75,597,74,204,99,382,342,24,113,221,68,129,30,112,202,24
G0374,1159,196,2565,926,1123,438,156,243,160,1580,562,561,390,573,1467,667,162,413,610,145,400,387,345,410
G0375,6,6,125,0,2,35,47,39,104,362,174,4,2,20,21,0,2,42,3,2,43,29,1,2
G0376,2439,1122,3022,1846,1327,1323,951,684,1327,3752,2617,1984,448,2702,2098,1117,877,1491,1119,946,1116,1691,2132,1648
G0377,0,0,10,3,40,29,31,14,109,230,325,128,54,48,139,0,8,2,169,1,0,47,0,32
G0378,482,90,384,311,122,102,172,461,177,358,256,137,216,168,300,579,84,121,236,216,70,671,53,63
G0379,180,339,1245,96,172,626,140,100,229,325,266,442,5,445,120,43,352,203,239,149,229,261,33,526
G0380,45,57,254,157,246,9,63,64,7,345,477,291,5,164,3,18,45,88,59,61,13,38,52,9
G0381,1061,153,494,362,740,293,47,45,22,321,132,109,96,329,695,1610,230,154,287,115,44,125,61,117
G0382,1566,146,2272,1274,261,350,266,141,200,293,662,275,417,298,459,166,177,338,41,335,116,90,560,333
G0383,54,141,81,39,18,31,33,21,15,36,1,17,38,14,9,3,11,14,14,60,2,48,181,7
G0384,413,144,363,1350,464,380,584,518,260,1912,593,310,353,362,1215,727,236,337,421,286,311,311,390,694
G0385,97,65,592,459,469,160,509,155,58,305,1080,285,63,224,420,261,76,67,423,89,101,97,148,344
G0386,645,113,504,345,748,243,211,583,38,591,332,674,153,763,529,306,79,210,301,111,205,394,544,160
G0387,1844,155,1233,1228,182,523,531,674,385,1664,474,714,250,752,792,499,243,452,741,147,566,202,516,314
G0388,282,26,98,55,809,171,186,415,67,190,41,706,240,128,50,13,5,132,64,5,64,464,104,120
G0389,1357,652,1005,498,694,283,260,352,208,779,1018,534,282,912,607,580,149,436,289,455,531,782,381,267
G0390,761,196,726,1153,894,565,644,373,680,3736,3021,750,275,733,397,321,201,415,602,574,679,906,1675,590
G0391,1117,411,1647,1615,601,568,344,248,316,2526,556,890,443,807,703,784,463,207,671,426,803,901,623,1479
G0392,2902,338,2053,917,2713,1083,1157,1090,429,1195,1630,1563,708,1518,1200,805,621,951,889,676,889,1970,963,2000
G0393,160,22,300,512,108,11,186,38,135,780,393,241,139,425,102,23,126,123,357,26,10,192,437,213
G0394,2272,309,2617,3062,1193,923,1732,354,194,1500,2305,1344,759,1656,1659,1276,691,974,914,706,689,959,909,1575
G0395,1835,404,2128,2186,1382,215,719,963,659,2336,3680,885,923,587,1619,470,440,787,910,423,490,873,1592,2624
G0396,422,51,460,104,480,74,240,51,58,202,186,231,39,411,63,642,102,107,45,279,61,469,141,327
G0397,2585,677,3164,2106,1753,1970,1435,664,502,5823,4502,2840,762,2367,1408,1914,1335,2354,1389,806,1453,2140,2262,2656
G0398,265,37,183,451,362,36,168,110,66,35,120,13,57,192,307,215,256,69,16,20,5,63,74,143
G0399,1358,149,1158,889,906,493,318,352,635,1750,1108,1731,261,1150,945,617,710,516,310,417,783,1026,694,593
G0400,546,117,626,746,618,323,436,141,41,810,324,1416,69,959,204,112,211,174,52,74,309,874,130,466
G0401,328,213,278,636,472,379,495,166,119,593,347,649,215,161,1065,193,113,233,110,118,146,602,904,500
G0402,885,60,164,968,227,430,545,293,408,227,1478,199,290,548,478,213,108,301,196,281,335,327,241,380
G0403,461,410,442,617,343,236,282,200,103,504,170,233,232,245,250,94,78,150,720,38,56,205,881,351
G0404,31,20,314,0,184,1,4,6,11,217,6,40,53,195,31,34,15,43,2,0,0,40,0,103
G0405,247,178,420,808,1649,157,155,70,299,290,477,272,210,456,989,68,180,325,370,194,95,86,145,91
G0406,231,0,104,35,1,41,0,84,27,233,29,289,0,20,30,33,8,0,3,42,91,38,36,33
G0407,2644,874,1749,2432,2482,1569,822,1494,703,2086,2253,1279,444,1185,1848,1213,589,972,1394,407,526,1073,2743,1024
G0408,252,86,164,170,568,10,53,324,48,398,1231,186,257,96,200,101,129,281,42,153,103,222,351,70
G0409,3129,1437,3454,5844,5202,2247,4176,2115,1528,6215,8527,2903,1597,4805,2075,2799,2450,2861,3703,1349,3082,4160,4062,4607
G0410,800,469,1790,1500,235,480,403,175,204,213,1876,845,309,324,1142,319,101,353,424,407,434,504,768,365
G0411,473,296,1011,974,191,477,140,435,174,777,1036,1211,205,387,639,155,97,98,234,117,607,549,514,274
G0412,406,67,701,720,305,244,589,332,152,548,720,687,278,611,433,389,76,626,397,178,177,652,779,649
G0413,395,0,20,23,0,18,63,0,108,18,16,10,18,265,35,3,0,81,71,5,67,47,5,76
G0414,366,600,1020,2232,556,334,505,192,215,1684,628,623,608,635,705,534,313,671,716,104,290,205,154,733
G0415,1409,425,1704,1063,1764,255,789,833,684,5380,1444,1179,694,1312,976,658,481,459,1002,706,1343,1935,1256,1219
G0416,257,1,96,666,200,26,189,4,80,200,169,89,8,149,10,18,19,34,8,31,5,221,170,234
G0417,521,63,320,456,188,212,219,48,184,427,362,293,110,108,313,252,41,157,159,97,29,80,431,644
G0418,516,124,492,319,479,135,55,73,81,513,83,372,153,288,571,113,141,94,179,188,180,557,113,12
G0419,84,84,173,72,490,198,144,63,64,787,57,672,10,161,136,59,68,48,165,17,80,128,106,246
G0420,94,184,189,252,109,148,106,38,12,45,23,97,57,30,370,49,17,72,0,52,57,91,85,55
G0421,71,108,795,78,95,241,199,68,201,99,551,381,74,287,111,233,27,114,377,153,77,569,144,69
G0422,808,186,180,762,351,930,61,125,87,114,462,267,165,456,727,79,110,336,191,143,253,287,810,615
G0423,61,104,122,150,1,51,194,23,5,735,8,5,183,92,7,375,214,1,15,1,39,98,32,11
G0424,0,0,0,28,125,0,16,2,0,0,0,0,0,75,0,1,14,0,0,15,3,0,2,0
G0425,105,100,36,239,38,167,38,54,79,36,16,64,3,29,42,146,13,163,2,8,18,77,188,85
G0426,4355,2576,4505,4400,5636,2217,2956,2120,1185,6193,4450,3199,1983,5117,4626,3368,1186,3772,1724,1025,1492,2905,3236,2364
G0427,24,23,29,0,13,0,27,30,2,2,230,246,16,61,304,52,0,6,71,54,4,38,6,36
G0428,332,105,359,776,92,199,129,202,174,540,643,197,361,252,129,210,210,90,219,71,258,377,125,429
G0429,482,229,2861,1390,870,638,437,1097,568,1075,1469,1242,270,1817,558,637,415,1237,1001,530,779,300,1137,1250
G0430,551,158,855,1368,962,356,227,236,186,958,683,1825,366,1191,879,390,292,462,573,332,828,572,979,1386
G0431,885,552,2696,1605,2026,916,1177,517,1138,2145,842,1613,533,1304,959,819,310,749,267,606,625,1258,579,1308
G0432,61,12,4,20,0,1,0,0,118,323,0,0,8,12,489,0,0,160,19,4,8,2,22,82
G0433,2666,1544,2200,4224,3353,1535,1752,894,679,3441,4854,3429,869,1808,3317,1583,814,765,910,1443,1919,1589,1900,2498
G0434,2958,588,1681,1856,1048,936,1320,713,573,2353,1741,1393,859,802,2251,1190,1154,518,1088,1124,1023,2806,929,1053
G0435,0,0,18,20,5,40,72,4,281,90,15,89,3,24,39,30,0,6,60,73,48,1,90,31
G0436,2261,519,2625,1622,2359,1059,2094,774,795,6291,4697,2412,991,1333,2028,454,1105,1530,3110,849,1770,1890,2076,1179
G0437,28,24,59,56,265,13,50,3,40,154,56,179,28,194,350,125,12,63,226,89,49,306,178,203
G0438,52,76,13,306,9,194,86,161,16,453,251,378,174,239,189,314,112,330,305,15,138,71,83,33
G0439,1955,419,1695,2497,1521,1240,683,876,494,1546,1125,1817,397,1090,2417,603,771,253,567,217,572,593,991,1277
G0440,41,63,335,738,1,63,518,4,19,240,144,220,14,7,182,209,18,103,308,26,122,167,86,1
G0441,385,122,112,58,380,55,133,80,51,310,239,580,185,71,270,299,122,77,225,157,240,348,232,158
G0442,793,375,813,1109,480,520,1387,593,401,1104,819,416,333,1127,1150,284,375,646,453,357,840,311,694,1047
G0443,736,180,243,337,356,65,353,16,90,473,371,138,56,262,282,334,191,168,120,174,71,434,63,254
G0444,3072,1093,4434,2448,3113,813,2177,1787,769,2053,4523,2013,1483,2663,2253,1832,968,1924,2280,784,1145,1784,1799,1478
G0445,411,56,110,242,203,51,4,123,79,267,130,75,38,124,155,365,147,93,103,9,8,20,81,224
G0446,2480,663,4039,3166,3061,1621,3184,906,845,4210,2289,1245,1435,2006,1362,1711,807,886,1058,1028,1754,1972,2822,1802
G0447,1259,236,1900,1634,1217,511,1035,1268,751,1798,1857,1767,485,1201,1501,735,673,599,1888,593,1119,691,770,1250
G0448,254,27,113,136,370,22,152,135,74,760,261,224,160,323,304,366,143,334,38,89,33,87,115,236
G0449,5048,827,5007,6222,5240,2209,2832,1234,1062,5311,3848,3665,1333,4219,4906,2329,1550,1724,3478,1202,1776,2379,1982,1910
G0450,1240,377,809,807,925,588,916,768,512,1449,1857,1676,1146,1404,702,1679,559,1431,316,805,833,1298,494,1942
G0451,0,21,4,100,0,1,1,0,17,169,48,196,8,1,0,1,7,1,0,0,0,0,0,0
G0452,345,185,58,481,306,102,93,424,43,238,562,456,159,731,151,521,217,401,259,64,200,100,178,280
G0453,273,112,11,127,8,55,90,82,40,208,1,32,35,3,3,32,16,57,9,0,22,99,8,12
G0454,624,120,241,719,608,131,334,265,226,1168,1235,253,174,536,1089,287,482,339,676,88,717,507,325,964
G0455,834,302,1067,789,1247,218,395,420,200,1985,881,573,126,635,425,269,148,407,595,318,246,447,853,686
G0456,535,42,776,557,367,465,288,222,140,140,289,476,218,264,404,317,196,386,92,92,279,97,403,183
G0457,829,243,693,472,328,93,178,70,188,50,253,314,143,93,47,248,29,307,287,290,183,106,284,145
G0458,249,6,539,517,583,140,78,168,98,914,441,593,148,317,458,493,140,73,1236,94,106,37,141,251
G0459,346,152,220,278,1057,96,117,100,136,277,102,72,177,635,141,12,164,302,180,62,64,128,337,101
G0460,83,8,250,422,558,10,73,69,201,655,402,66,37,81,323,293,11,56,229,180,126,45,400,97
G0461,64,47,43,11,187,154,210,408,36,334,985,188,19,88,149,66,9,37,30,58,145,99,91,688
G0462,615,217,319,636,365,197,274,131,101,523,181,212,186,545,857,735,95,510,105,121,154,81,245,334
G0463,0,5,182,2,8,0,27,109,47,14,220,3,1,52,34,2,5,137,23,4,1,0,297,102
G0464,35,34,83,41,38,1,5,0,0,45,24,434,0,131,7,18,16,0,0,0,70,306,11,74
G0465,25,0,106,14,15,64,0,0,7,2,308,230,64,12,81,0,46,13,42,43,43,17,2,3
G0466,1459,643,3705,910,869,865,1072,1369,618,2340,1402,1186,832,1120,923,1054,889,281,872,393,776,829,1107,2245
G0467,938,215,563,946,1091,342,1039,485,318,2057,271,782,304,493,309,669,170,466,417,224,810,544,871,913
G0468,285,73,178,493,171,149,157,225,84,609,251,361,41,181,227,330,75,87,85,15,146,126,117,234
G0469,3506,916,9364,3983,3644,1909,4441,2521,1436,4437,8381,4839,2000,2900,4447,2700,1328,1909,2300,1691,2149,4203,3930,4563
G0470,4,24,2,0,24,0,80,0,19,8,0,9,2,0,16,37,12,1,4,55,25,2,0,2
G0471,765,18,41,470,207,96,205,55,0,169,88,248,245,38,101,79,70,115,65,153,53,29,141,145
G0472,352,22,35,286,237,87,51,196,80,515,146,94,18,445,166,292,160,200,183,322,165,172,370,60
G0473,265,130,340,166,229,136,494,41,115,373,1168,108,29,76,308,293,111,29,115,49,74,148,541,60
G0474,624,128,462,533,416,334,354,253,172,531,1386,181,334,559,209,205,157,302,49,90,432,580,89,451
G0475,0,8,36,1,1,0,0,26,32,204,3,191,0,28,0,0,0,0,1,53,10,3,19,64
G0476,883,255,769,960,167,426,498,286,135,198,473,84,362,263,325,295,247,299,709,142,120,381,268,283
G0477,40,39,244,4,4,192,127,42,34,85,2,189,24,41,1,22,6,1,24,0,35,9,27,34
G0478,594,166,218,106,208,112,798,65,107,143,661,226,65,83,298,487,135,116,317,219,150,258,184,351
G0479,1718,598,842,638,387,504,701,335,209,950,736,452,354,654,1233,357,210,161,388,598,179,485,473,583
G0480,1335,204,750,1138,872,430,435,184,528,1532,756,593,221,1068,705,246,295,294,353,334,625,245,699,906
G0481,5,0,36,87,56,94,24,18,5,330,11,5,10,95,12,28,66,5,123,5,43,4,33,39
G0482,9,65,23,1,62,5,2,44,15,245,156,29,33,44,164,1,105,0,19,124,12,22,2,67
G0483,96,122,211,171,316,30,116,154,108,943,337,37,98,398,294,63,93,349,44,19,23,97,102,178
G0484,340,112,850,470,246,234,420,229,183,1610,933,619,320,364,317,216,120,346,456,234,261,462,460,911
G0485,609,18,162,349,203,129,123,104,124,16,354,278,98,346,133,127,333,183,158,107,7,140,197,284
G0486,1403,361,519,1362,744,470,385,184,400,911,816,754,155,590,1622,532,249,222,700,498,150,879,507,225
G0487,57,17,13,25,45,7,54,50,36,75,11,53,3,6,28,19,13,0,161,20,23,47,103,27
G0488,92,12,168,303,51,56,48,57,39,466,94,142,49,40,395,68,171,49,16,67,162,54,182,247
G0489,351,170,261,147,96,93,634,180,60,392,74,145,128,227,205,234,241,172,229,198,40,213,278,92
G0490,17,26,47,216,148,180,42,0,99,327,137,1,15,45,68,39,267,39,311,36,16,135,55,148
G0491,1206,490,1269,1623,1317,1652,772,740,524,1958,1031,832,939,1591,1157,992,599,1116,1211,232,1118,981,2440,1140
G0492,103,5,3,5,37,23,81,3,355,81,292,0,17,50,6,12,18,15,5,1,0,1,188,0
G0493,13,18,188,344,12,20,127,40,195,252,151,78,28,357,98,134,78,91,152,82,336,138,188,31
